Lab,LabTitle,ConceptID,ConceptLabel,TaxonomyID
1,Hello World with Thonny,201,Thonny IDE,TOOL
1,Hello World with Thonny,202,MicroPython Firmware,TOOL
1,Hello World with Thonny,203,USB Serial Connection,TOOL
1,Hello World with Thonny,204,REPL,TOOL
1,Hello World with Thonny,205,Print Statement,TOOL
1,Hello World with Thonny,206,Script Execution,TOOL
1,Hello World with Thonny,207,Saving To Device,TOOL
1,Hello World with Thonny,208,Device Filesystem,TOOL
1,Hello World with Thonny,209,Keyboard Interrupt,TOOL
1,Hello World with Thonny,210,MicroPython vs CPython,TOOL
2,Blink: Your First Hardware Program,211,General Purpose IO,MCIO
2,Blink: Your First Hardware Program,212,GPIO Pin,MCIO
2,Blink: Your First Hardware Program,213,Pin Object,MCIO
2,Blink: Your First Hardware Program,214,Digital Output,MCIO
2,Blink: Your First Hardware Program,215,Onboard LED,MCIO
2,Blink: Your First Hardware Program,216,Logic High And Low,MCIO
2,Blink: Your First Hardware Program,217,Pin Toggle,MCIO
2,Blink: Your First Hardware Program,218,Sleep Delay,MCIO
2,Blink: Your First Hardware Program,219,Infinite Loop,MCIO
3,Know Your Board,220,Firmware Version,TOOL
3,Know Your Board,221,CPU Clock Frequency,HARD
3,Know Your Board,222,RAM Versus Flash,HARD
3,Know Your Board,223,Free Memory Query,TOOL
3,Know Your Board,224,Filesystem Statistics,TOOL
3,Know Your Board,225,Memory Mapped Register,HARD
3,Know Your Board,226,CPUID Register,HARD
3,Know Your Board,227,Silicon Revision,HARD
3,Know Your Board,228,Unique Device ID,HARD
4,The OLED Display,229,Serial Peripheral Interface,MCIO
4,The OLED Display,230,SPI Clock And Data,MCIO
4,The OLED Display,231,Chip Select Line,MCIO
4,The OLED Display,232,Display Driver Chip,MCIO
4,The OLED Display,233,SSD1306 Controller,MCIO
4,The OLED Display,234,Framebuffer,VAPP
4,The OLED Display,235,Monochrome Display,VAPP
4,The OLED Display,236,Pixel Coordinates,VAPP
4,The OLED Display,237,Text Rendering,VAPP
4,The OLED Display,238,Display Refresh,VAPP
4,The OLED Display,239,Shared Configuration Module,TOOL
5,Buttons and Interaction,240,Digital Input,MCIO
5,Buttons and Interaction,241,Pull Up Resistor,MCIO
5,Buttons and Interaction,242,Active Low Logic,MCIO
5,Buttons and Interaction,243,Switch Bounce,MCIO
5,Buttons and Interaction,244,Debouncing,MCIO
5,Buttons and Interaction,245,Polling Loop,MCIO
5,Buttons and Interaction,246,Edge Detection,MCIO
5,Buttons and Interaction,247,Event Loop,MCIO
5,Buttons and Interaction,248,Mode Switching,MCIO
6,Deploying Code and Libraries,249,File Transfer To Device,TOOL
6,Deploying Code and Libraries,250,mpremote Tool,TOOL
6,Deploying Code and Libraries,251,Library Directory,TOOL
6,Deploying Code and Libraries,252,Import Path,TOOL
6,Deploying Code and Libraries,253,Module Import,TOOL
6,Deploying Code and Libraries,254,Autorun main.py,TOOL
6,Deploying Code and Libraries,255,Standalone Operation,TOOL
6,Deploying Code and Libraries,256,Code Organization,TOOL
7,Your First Sound Capture,257,MEMS Microphone,AUDI
7,Your First Sound Capture,258,INMP441 Microphone,AUDI
7,Your First Sound Capture,259,Digital Microphone Output,AUDI
7,Your First Sound Capture,260,I2S Protocol,MCIO
7,Your First Sound Capture,261,Bit Clock,MCIO
7,Your First Sound Capture,262,Word Select Line,MCIO
7,Your First Sound Capture,263,I2S Serial Data,MCIO
7,Your First Sound Capture,264,Audio Buffer,AUDI
7,Your First Sound Capture,265,Buffered Read,MCIO
7,Your First Sound Capture,266,Sample Word Format,AUDI
7,Your First Sound Capture,267,Twenty Four Bit In Thirty Two,AUDI
7,Your First Sound Capture,268,Arithmetic Right Shift,AUDI
7,Your First Sound Capture,269,Unpacking Binary Data,AUDI
8,Sound Levels: RMS and a VU Meter,270,Root Mean Square,AUDI
8,Sound Levels: RMS and a VU Meter,271,Sound Level,AUDI
8,Sound Levels: RMS and a VU Meter,272,Loudness Perception,AUDI
8,Sound Levels: RMS and a VU Meter,273,Thonny Plotter,VAPP
8,Sound Levels: RMS and a VU Meter,274,Moving Average,AUDI
8,Sound Levels: RMS and a VU Meter,275,Exponential Smoothing,AUDI
8,Sound Levels: RMS and a VU Meter,276,Sensor Auto Calibration,AUDI
8,Sound Levels: RMS and a VU Meter,277,Bar Graph Display,VAPP
8,Sound Levels: RMS and a VU Meter,278,Decibel Scale,AUDI
8,Sound Levels: RMS and a VU Meter,279,Level Meter,VAPP
9,Sampling Rate and Aliasing,280,Sample Period,SIGP
9,Sampling Rate and Aliasing,281,Sampling Theorem,SIGP
9,Sampling Rate and Aliasing,282,Nyquist Frequency,SIGP
9,Sampling Rate and Aliasing,283,Aliasing Artifact,SIGP
9,Sampling Rate and Aliasing,284,Frequency Folding,SIGP
9,Sampling Rate and Aliasing,285,Anti Aliasing Filter,SIGP
9,Sampling Rate and Aliasing,286,Undersampling,SIGP
9,Sampling Rate and Aliasing,287,Tone Generator,AUDI
9,Sampling Rate and Aliasing,288,Sample Rate Selection,SIGP
9,Sampling Rate and Aliasing,289,Sample Rate Selection Tradeoff,SIGP
9,Sampling Rate and Aliasing,290,Productive Failure,LABM
10,"Bit Depth, Headroom and Clipping",291,Dynamic Range,AUDI
10,"Bit Depth, Headroom and Clipping",292,Full Scale Value,AUDI
10,"Bit Depth, Headroom and Clipping",293,Headroom,AUDI
10,"Bit Depth, Headroom and Clipping",294,Clipping,AUDI
10,"Bit Depth, Headroom and Clipping",295,Clipping Distortion,AUDI
10,"Bit Depth, Headroom and Clipping",296,Quantization Error,SIGP
10,"Bit Depth, Headroom and Clipping",297,Noise Floor,AUDI
10,"Bit Depth, Headroom and Clipping",298,Amplitude Normalization,AUDI
10,"Bit Depth, Headroom and Clipping",299,Integer Overflow,AUDI
11,"Sine Waves: Amplitude, Frequency, Phase",300,Radians,MATH
11,"Sine Waves: Amplitude, Frequency, Phase",301,Angular Frequency,MATH
11,"Sine Waves: Amplitude, Frequency, Phase",302,Period Of A Wave,MATH
11,"Sine Waves: Amplitude, Frequency, Phase",303,Phase Offset,MATH
11,"Sine Waves: Amplitude, Frequency, Phase",304,Sine Synthesis,MATH
11,"Sine Waves: Amplitude, Frequency, Phase",305,Sample Index To Time,SIGP
11,"Sine Waves: Amplitude, Frequency, Phase",306,Waveform Plotting,VAPP
11,"Sine Waves: Amplitude, Frequency, Phase",307,Peak Amplitude,MATH
11,"Sine Waves: Amplitude, Frequency, Phase",308,DC Component,SIGP
