ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Complex Numbers,,MATH
2,Euler's Formula,1,MATH
3,Sine Wave Representation,,MATH
4,Frequency Domain,3,MATH
5,Time Domain,3,MATH
6,Discrete Fourier Transform,1|4|5,MATH
7,Continuous Fourier Transform,1|4|5,MATH
8,Transform Pairs,6|7,MATH
9,Linearity Property,6,MATH
10,Time Shifting,5|6,MATH
11,Frequency Shifting,4|6,MATH
12,Convolution Theorem,6,MATH
13,Parseval's Theorem,6,MATH
14,Symmetry Properties,1|6,MATH
15,Magnitude Spectrum,1|4,MATH
16,Phase Spectrum,1|4,MATH
17,Rectangular Form,1,MATH
18,Polar Form,1,MATH
19,Sampling Theorem,5,MATH
20,Nyquist Frequency,19,MATH
21,Fast Fourier Transform,6,FFT
22,Cooley-Tukey Algorithm,21,FFT
23,Divide And Conquer,22,FFT
24,Butterfly Operation,22,FFT
25,Radix-2 FFT,22|24,FFT
26,Radix-4 FFT,22|24,FFT
27,Radix-8 FFT,22|24,FFT
28,Mixed Radix FFT,25|26,FFT
29,Decimation In Time,22,FFT
30,Decimation In Frequency,22,FFT
31,Bit Reversal Permutation,25,FFT
32,Twiddle Factors,2|22,FFT
33,In-Place Computation,21,FFT
34,Computational Complexity,21,FFT
35,FFT Size Selection,21|34,FFT
36,Power Of Two Constraint,25,FFT
37,Inverse FFT,21,FFT
38,FFT Scaling,21,FFT
39,Real FFT,21,FFT
40,Complex FFT,21,FFT
41,Half-Spectrum Property,14|39,FFT
42,Zero Padding,21,FFT
43,Frequency Resolution,21|42,FFT
44,Time Resolution Tradeoff,43,FFT
45,Circular Convolution,12|21,FFT
46,Digital Signal Processing,5,SIG
47,Analog To Digital Conversion,5,SIG
48,Digital To Analog Conversion,5,SIG
49,Sample Rate,19|47,SIG
50,Quantization,47,SIG
51,Bit Depth,50,SIG
52,Dynamic Range,51,SIG
53,Signal To Noise Ratio,50|52,SIG
54,Windowing Functions,21,SIG
55,Rectangular Window,54,SIG
56,Hanning Window,54,SIG
57,Hamming Window,54,SIG
58,Blackman Window,54,SIG
59,Kaiser Window,54,SIG
60,Window Sidelobe Levels,54,SIG
61,Spectral Leakage,54,SIG
62,Scalloping Loss,54,SIG
63,Overlap Add Method,21|54,SIG
64,Overlap Save Method,21|54,SIG
65,Frame Size,21,SIG
66,Hop Size,63|65,SIG
67,Frequency Bins,21,SIG
68,Bin Width,43|67,SIG
69,Spectrum Analysis,15|16,SIG
70,Spectrogram,69,SIG
71,ARM Cortex M Series,,ARM
72,Cortex M4 Processor,71,ARM
73,Cortex M33 Processor,71,ARM
74,Instruction Set Architecture,71,ARM
75,Thumb Instructions,74,ARM
76,DSP Extension Instructions,74,ARM
77,Single Instruction Multiple Data,76,ARM
78,MAC Instructions,76,ARM
79,Saturating Arithmetic,76,ARM
80,Floating Point Unit,71,ARM
81,Single Precision Float,80,ARM
82,Double Precision Float,80,ARM
83,Hardware Floating Point,80,ARM
84,Software Floating Point,,ARM
85,FPU Register File,80,ARM
86,Pipeline Architecture,71,ARM
